dataset,dataset_label,sample_id,variant,variant_label,started,run_dir,predicted_count,gt_count,gt_count_mode,gt_interval_low,gt_interval_high,absolute_error,relative_error,exact_match,inside_gt_interval,within_1,within_2,within_3,within_5_pct,within_10_pct,gt_value,normalized_absolute_error_pct,signed_error
grid_scan_paper,Grid Scan Paper,Tile_r036_c026,E1_raw_vlm,VLM,2026-06-26T12:48:04.253574+00:00,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/Tile_r036_c026/20260626_124804,5,6,point,6,6,1,0.1667,False,False,True,True,True,False,False,6.0,16.666666666666664,-1
grid_scan_paper,Grid Scan Paper,Tile_r036_c026,E2_sam2_deterministic,SAM2 mask,2026-06-26T12:48:04.253574+00:00,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/Tile_r036_c026/20260626_124804,9,6,point,6,6,3,0.5,False,False,False,False,True,False,False,6.0,50.0,3
grid_scan_paper,Grid Scan Paper,Tile_r036_c026,E3_imggen_deterministic,ImgGen mask,2026-06-26T12:48:04.253574+00:00,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/Tile_r036_c026/20260626_124804,5,6,point,6,6,1,0.1667,False,False,True,True,True,False,False,6.0,16.666666666666664,-1
grid_scan_paper,Grid Scan Paper,Tile_r036_c026,E4_sam2_overlay_vlm,SAM2 overlay,2026-06-26T12:48:04.253574+00:00,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/Tile_r036_c026/20260626_124804,10,6,point,6,6,4,0.6667,False,False,False,False,False,False,False,6.0,66.66666666666666,4
grid_scan_paper,Grid Scan Paper,Tile_r036_c026,E5_imggen_overlay_vlm,ImgGen overlay,2026-06-26T12:48:04.253574+00:00,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/Tile_r036_c026/20260626_124804,7,6,point,6,6,1,0.1667,False,False,True,True,True,False,False,6.0,16.666666666666664,1
grid_scan_paper,Grid Scan Paper,Tile_r036_c026,E6_sam3_deterministic,SAM3 mask,2026-06-26T12:48:04.253574+00:00,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/Tile_r036_c026/20260626_124804,5,6,point,6,6,1,0.1667,False,False,True,True,True,False,False,6.0,16.666666666666664,-1
grid_scan_paper,Grid Scan Paper,Tile_r036_c026,E7_sam3_overlay_vlm,SAM3 overlay,2026-06-26T12:48:04.253574+00:00,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/Tile_r036_c026/20260626_124804,7,6,point,6,6,1,0.1667,False,False,True,True,True,False,False,6.0,16.666666666666664,1
grid_scan_paper,Grid Scan Paper,Tile_r036_c027,E1_raw_vlm,VLM,2026-06-26T12:53:00.484413+00:00,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/Tile_r036_c027/20260626_125300,1,1,point,1,1,0,0.0,True,True,True,True,True,True,True,1.0,0.0,0
grid_scan_paper,Grid Scan Paper,Tile_r036_c027,E2_sam2_deterministic,SAM2 mask,2026-06-26T12:53:00.484413+00:00,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/Tile_r036_c027/20260626_125300,2,1,point,1,1,1,1.0,False,False,True,True,True,False,False,1.0,100.0,1
grid_scan_paper,Grid Scan Paper,Tile_r036_c027,E3_imggen_deterministic,ImgGen mask,2026-06-26T12:53:00.484413+00:00,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_2/runs/Tile_r036_c027/20260626_125300,1,1,point,1,1,0,0.0,True,True,True,True,True,True,True,1.0,0.0,0
